Day,Stage,Action_Type,Attempt_or_Chain_Step,Template_Name,Business_Day_Offset,Notes
19,Commercial Agreement,Email,Chain 4,Commercial Agreement Post-Call Email Chain 4,+3 calendar days,
22,Commercial Agreement,Email,Chain 5,Commercial Agreement Post-Call Email Chain 5,+3 calendar days,
25,Commercial Agreement,Email,Chain 6,Commercial Agreement Post-Call Email Chain 6,+3 calendar days,
28,Commercial Agreement,Email,Chain 7,Commercial Agreement Post-Call Email Chain 7,+3 calendar days,
0,Onboarding,Email,Confirmation,Onboarding Confirmation Email,0,Triggered on signature/Commercials Status = Signed. Not call-gated.
0,Onboarding,Call,1,,0,Sequence entry. Onboarding handoff.
0,Onboarding,Email,1,Onboarding Email 1,0,On Neutral/No Answer.
2,Onboarding,Call,2,,+2 business days,
4,Onboarding,Call,3,,+2 business days,
6,Onboarding,Call,4,,+2 business days,
8,Onboarding,Call,5,,+2 business days,
10,Onboarding,Email,Chain 1,Onboarding Post-Call Email Chain 1,+2 business days,
13,Onboarding,Email,Chain 2,Onboarding Post-Call Email Chain 2,+3 calendar days,
16,Onboarding,Email,Chain 3,Onboarding Post-Call Email Chain 3,+3 calendar days,
19,Onboarding,Email,Chain 4,Onboarding Post-Call Email Chain 4,+3 calendar days,
22,Onboarding,Email,Chain 5,Onboarding Post-Call Email Chain 5,+3 calendar days,
25,Onboarding,Email,Chain 6,Onboarding Post-Call Email Chain 6,+3 calendar days,
28,Onboarding,Email,Chain 7,Onboarding Post-Call Email Chain 7,+3 calendar days,
0,Onboarding,Email,Kickoff,Onboarding Kickoff Email,0,Triggered on Stage entry. Not call-gated.
0,Onboarding,Call,1,,0,Sequence entry.
0,Onboarding,Email,1,Onboarding Email 1,0,On Neutral/No Answer.
2,Onboarding,Call,2,,+2 business days,
2,Onboarding,Email,2,Onboarding Email 2,+2 business days,
4,Onboarding,Call,3,,+2 business days,
6,Onboarding,Call,4,,+2 business days,
8,Onboarding,Call,5,,+2 business days,
10,Onboarding,Email,Chain 1,Onboarding Post-Call Email Chain 1,+2 business days,
13,Onboarding,Email,Chain 2,Onboarding Post-Call Email Chain 2,+3 calendar days,
16,Onboarding,Email,Chain 3,Onboarding Post-Call Email Chain 3,+3 calendar days,
19,Onboarding,Email,Chain 4,Onboarding Post-Call Email Chain 4,+3 calendar days,
22,Onboarding,Email,Chain 5,Onboarding Post-Call Email Chain 5,+3 calendar days,
25,Onboarding,Email,Chain 6,Onboarding Post-Call Email Chain 6,+3 calendar days,
28,Onboarding,Email,Chain 7,Onboarding Post-Call Email Chain 7,+3 calendar days,
0,Renewal,Call,1,,0,Sequence entry.
0,Renewal,Email,1,Renewal Email 1,0,On Neutral/No Answer.
2,Renewal,Call,2,,+2 business days,
2,Renewal,Email,2,Renewal Email 2,+2 business days,
4,Renewal,Call,3,,+2 business days,
4,Renewal,Email,3,Renewal Email 3,+2 business days,
6,Renewal,Call,4,,+2 business days,
6,Renewal,Email,4,Renewal Email 4,+2 business days,
8,Renewal,Call,5,,+2 business days,
8,Renewal,Email,5,Renewal Email 5,+2 business days,
10,Renewal,Email,Chain 1,Renewal Post-Call Email Chain 1,+2 business days,
13,Renewal,Email,Chain 2,Renewal Post-Call Email Chain 2,+3 calendar days,
16,Renewal,Email,Chain 3,Renewal Post-Call Email Chain 3,+3 calendar days,
19,Renewal,Email,Chain 4,Renewal Post-Call Email Chain 4,+3 calendar days,
22,Renewal,Email,Chain 5,Renewal Post-Call Email Chain 5,+3 calendar days,
25,Renewal,Email,Chain 6,Renewal Post-Call Email Chain 6,+3 calendar days,
28,Renewal,Email,Chain 7,Renewal Post-Call Email Chain 7,+3 calendar days,
